========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_OscProb.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_OscProb.yaml
PMNS Type : Fast
Number of parameters : 7
Propagation Method : Atmospheric
PREM Model : ./Inputs/OscProb_prem_4+1layers.txt
Detector depth : 1.5km
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:        68 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.29132 | CosZ:      -0.8 | Prob:  0.937728
Index:        69 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.48264 | CosZ:      -0.8 | Prob:  0.926876
Index:        70 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.7023 | CosZ:      -0.8 | Prob:  0.951106
Index:        71 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.9545 | CosZ:      -0.8 | Prob:  0.988184
Index:        72 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.24406 | CosZ:      -0.8 | Prob:   0.92091
Index:        73 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.57653 | CosZ:      -0.8 | Prob:  0.884139
Index:        74 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.95825 | CosZ:      -0.8 | Prob:  0.963966
Index:        75 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.39653 | CosZ:      -0.8 | Prob:  0.831342
Index:        76 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.89974 | CosZ:      -0.8 | Prob:  0.792735
Index:        77 | NuType:  1 | OscChan:  1 ->   1 | Energy:    4.4775 | CosZ:      -0.8 | Prob:  0.995442
Index:        78 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.14085 | CosZ:      -0.8 | Prob:  0.615022
Index:        79 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.90249 | CosZ:      -0.8 | Prob:  0.110656
Index:        80 | NuType:  1 | OscChan:  1 ->   1 | Energy:   6.77697 | CosZ:      -0.8 | Prob:  0.031448
