========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_GLoBESLinear.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_GLoBESLinear.yaml
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:       103 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.162568 | CosZ:      -999 | Prob: 0.0854152
Index:       104 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.186653 | CosZ:      -999 | Prob: 0.0701202
Index:       105 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.214306 | CosZ:      -999 | Prob: 0.0276743
Index:       106 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.246057 | CosZ:      -999 | Prob:0.00480867
Index:       107 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.282511 | CosZ:      -999 | Prob:0.00947961
Index:       108 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.324366 | CosZ:      -999 | Prob: 0.0275581
Index:       109 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.372422 | CosZ:      -999 | Prob: 0.0449806
Index:       110 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.427598 | CosZ:      -999 | Prob: 0.0551976
Index:       111 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.490948 | CosZ:      -999 | Prob: 0.0576465
Index:       112 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.563684 | CosZ:      -999 | Prob: 0.0544331
Index:       113 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.647195 | CosZ:      -999 | Prob: 0.0480804
Index:       114 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.74308 | CosZ:      -999 | Prob: 0.0405692
Index:       115 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.85317 | CosZ:      -999 | Prob: 0.0331513
Index:       116 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.97957 | CosZ:      -999 | Prob: 0.0264808
Index:       117 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.1247 | CosZ:      -999 | Prob: 0.0208117
Index:       118 | NuType:  1 | OscChan:  1 ->   3 | Energy:   1.29132 | CosZ:      -999 | Prob: 0.0161673
Index:       119 | NuType:  1 | OscChan:  1 ->   3 | Energy:   1.48264 | CosZ:      -999 | Prob: 0.0124554
Index:       120 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.7023 | CosZ:      -999 | Prob:0.00953921
Index:       121 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.9545 | CosZ:      -999 | Prob:0.00727537
Index:       122 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.24406 | CosZ:      -999 | Prob:0.00553267
Index:       123 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.57653 | CosZ:      -999 | Prob:0.00419905
Index:       124 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.95825 | CosZ:      -999 | Prob:0.00318268
Index:       125 | NuType:  1 | OscChan:  1 ->   3 | Energy:   3.39653 | CosZ:      -999 | Prob:0.00241027
Index:       126 | NuType:  1 | OscChan:  1 ->   3 | Energy:   3.89974 | CosZ:      -999 | Prob: 0.0018244
Index:       127 | NuType:  1 | OscChan:  1 ->   3 | Energy:    4.4775 | CosZ:      -999 | Prob:0.00138057
Index:       128 | NuType:  1 | OscChan:  1 ->   3 | Energy:   5.14085 | CosZ:      -999 | Prob:0.00104461
Index:       129 | NuType:  1 | OscChan:  1 ->   3 | Energy:   5.90249 | CosZ:      -999 | Prob:0.000790411
Index:       130 | NuType:  1 | OscChan:  1 ->   3 | Energy:   6.77697 | CosZ:      -999 | Prob:0.000598125
Index:       131 | NuType:  1 | OscChan:  1 ->   3 | Energy:     7.781 | CosZ:      -999 | Prob:0.000452678
Index:       132 | NuType:  1 | OscChan:  1 ->   3 | Energy:   8.93378 | CosZ:      -999 | Prob:0.000342655
Index:       133 | NuType:  1 | OscChan:  1 ->   3 | Energy:   10.2574 | CosZ:      -999 | Prob:0.000259418
Index:       134 | NuType:  1 | OscChan:  1 ->   3 | Energy:    11.777 | CosZ:      -999 | Prob:0.000196435
Index:       135 | NuType:  1 | OscChan:  1 ->   3 | Energy:   13.5218 | CosZ:      -999 | Prob:0.000148769
Index:       136 | NuType:  1 | OscChan:  1 ->   3 | Energy:   15.5251 | CosZ:      -999 | Prob:0.000112688
Index:       137 | NuType:  1 | OscChan:  1 ->   3 | Energy:   17.8252 | CosZ:      -999 | Prob:8.53706e-05
Index:       138 | NuType:  1 | OscChan:  1 ->   3 | Energy:   20.4661 | CosZ:      -999 | Prob:6.46847e-05
Index:       139 | NuType:  1 | OscChan:  1 ->   3 | Energy:   23.4982 | CosZ:      -999 | Prob:4.90176e-05
Index:       140 | NuType:  1 | OscChan:  1 ->   3 | Energy:   26.9796 | CosZ:      -999 | Prob:3.71496e-05
Index:       141 | NuType:  1 | OscChan:  1 ->   3 | Energy:   30.9767 | CosZ:      -999 | Prob:2.8158e-05
Index:       142 | NuType:  1 | OscChan:  1 ->   3 | Energy:    35.566 | CosZ:      -999 | Prob:2.13448e-05
Index:       143 | NuType:  1 | OscChan:  1 ->   3 | Energy:   40.8353 | CosZ:      -999 | Prob:1.61815e-05
Index:       144 | NuType:  1 | OscChan:  1 ->   3 | Energy:   46.8852 | CosZ:      -999 | Prob:1.22682e-05
Index:       145 | NuType:  1 | OscChan:  1 ->   3 | Energy:   53.8314 | CosZ:      -999 | Prob:9.30184e-06
Index:       146 | NuType:  1 | OscChan:  1 ->   3 | Energy:   61.8067 | CosZ:      -999 | Prob:7.05317e-06
Index:       147 | NuType:  1 | OscChan:  1 ->   3 | Energy:   70.9636 | CosZ:      -999 | Prob:5.34839e-06
Index:       148 | NuType:  1 | OscChan:  1 ->   3 | Energy:   81.4771 | CosZ:      -999 | Prob:4.05584e-06
Index:       149 | NuType:  1 | OscChan:  1 ->   3 | Energy:   93.5482 | CosZ:      -999 | Prob:3.07579e-06
Index:       150 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.107408 | CosZ:      -999 | Prob:  0.108276
Index:       151 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.123321 | CosZ:      -999 | Prob: 0.0188579
Index:       152 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.141591 | CosZ:      -999 | Prob: 0.0415455
Index:       153 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.162568 | CosZ:      -999 | Prob:  0.089554
Index:       154 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.186653 | CosZ:      -999 | Prob: 0.0726452
Index:       155 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.214306 | CosZ:      -999 | Prob: 0.0277655
Index:       156 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.246057 | CosZ:      -999 | Prob:0.00426742
Index:       157 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.282511 | CosZ:      -999 | Prob: 0.0100992
Index:       158 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.324366 | CosZ:      -999 | Prob:  0.029999
Index:       159 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.372422 | CosZ:      -999 | Prob: 0.0489643
Index:       160 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.427598 | CosZ:      -999 | Prob: 0.0600565
Index:       161 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.490948 | CosZ:      -999 | Prob: 0.0627244
Index:       162 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.563684 | CosZ:      -999 | Prob: 0.0592567
Index:       163 | NuType:  1 | OscChan:  2 ->   1 | Energy:  0.647195 | CosZ:      -999 | Prob: 0.0523806
Index:       164 | NuType:  1 | OscChan:  2 ->   1 | Energy:   0.74308 | CosZ:      -999 | Prob: 0.0442378
Index:       165 | NuType:  1 | OscChan:  2 ->   1 | Energy:   0.85317 | CosZ:      -999 | Prob: 0.0361847
Index:       166 | NuType:  1 | OscChan:  2 ->   1 | Energy:   0.97957 | CosZ:      -999 | Prob: 0.0289327
Index:       167 | NuType:  1 | OscChan:  2 ->   1 | Energy:    1.1247 | CosZ:      -999 | Prob: 0.0227611
Index:       168 | NuType:  1 | OscChan:  2 ->   1 | Energy:   1.29132 | CosZ:      -999 | Prob: 0.0176984
Index:       169 | NuType:  1 | OscChan:  2 ->   1 | Energy:   1.48264 | CosZ:      -999 | Prob: 0.0136472
Index:       170 | NuType:  1 | OscChan:  2 ->   1 | Energy:    1.7023 | CosZ:      -999 | Prob: 0.0104606
Index:       171 | NuType:  1 | OscChan:  2 ->   1 | Energy:    1.9545 | CosZ:      -999 | Prob:0.00798419
Index:       172 | NuType:  1 | OscChan:  2 ->   1 | Energy:   2.24406 | CosZ:      -999 | Prob:0.00607595
