========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_NuSQUIDSLinear_NSI.yaml
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:        77 | NuType:  1 | OscChan:  1 ->   2 | Energy:    4.4775 | CosZ:      -999 | Prob:0.00145569
Index:        78 | NuType:  1 | OscChan:  1 ->   2 | Energy:   5.14085 | CosZ:      -999 | Prob:0.00111374
Index:        79 | NuType:  1 | OscChan:  1 ->   2 | Energy:   5.90249 | CosZ:      -999 | Prob:0.000851569
Index:        80 | NuType:  1 | OscChan:  1 ->   2 | Energy:   6.77697 | CosZ:      -999 | Prob:0.000650872
Index:        81 | NuType:  1 | OscChan:  1 ->   2 | Energy:     7.781 | CosZ:      -999 | Prob:0.00049741
Index:        82 | NuType:  1 | OscChan:  1 ->   2 | Energy:   8.93378 | CosZ:      -999 | Prob:0.000380162
Index:        83 | NuType:  1 | OscChan:  1 ->   2 | Energy:   10.2574 | CosZ:      -999 | Prob:0.000290633
Index:        84 | NuType:  1 | OscChan:  1 ->   2 | Energy:    11.777 | CosZ:      -999 | Prob:0.000222293
Index:        85 | NuType:  1 | OscChan:  1 ->   2 | Energy:   13.5218 | CosZ:      -999 | Prob:0.000170136
Index:        86 | NuType:  1 | OscChan:  1 ->   2 | Energy:   15.5251 | CosZ:      -999 | Prob:0.00013033
Index:        87 | NuType:  1 | OscChan:  1 ->   2 | Energy:   17.8252 | CosZ:      -999 | Prob:9.9945e-05
Index:        88 | NuType:  1 | OscChan:  1 ->   2 | Energy:   20.4661 | CosZ:      -999 | Prob:7.67447e-05
Index:        89 | NuType:  1 | OscChan:  1 ->   2 | Energy:   23.4982 | CosZ:      -999 | Prob:5.90225e-05
Index:        90 | NuType:  1 | OscChan:  1 ->   2 | Energy:   26.9796 | CosZ:      -999 | Prob:4.54771e-05
Index:        91 | NuType:  1 | OscChan:  1 ->   2 | Energy:   30.9767 | CosZ:      -999 | Prob:3.51167e-05
Index:        92 | NuType:  1 | OscChan:  1 ->   2 | Energy:    35.566 | CosZ:      -999 | Prob:2.71857e-05
Index:        93 | NuType:  1 | OscChan:  1 ->   2 | Energy:   40.8353 | CosZ:      -999 | Prob:2.11082e-05
Index:        94 | NuType:  1 | OscChan:  1 ->   2 | Energy:   46.8852 | CosZ:      -999 | Prob:1.64455e-05
Index:        95 | NuType:  1 | OscChan:  1 ->   2 | Energy:   53.8314 | CosZ:      -999 | Prob:1.28635e-05
Index:        96 | NuType:  1 | OscChan:  1 ->   2 | Energy:   61.8067 | CosZ:      -999 | Prob:1.01073e-05
Index:        97 | NuType:  1 | OscChan:  1 ->   2 | Energy:   70.9636 | CosZ:      -999 | Prob:7.98302e-06
Index:        98 | NuType:  1 | OscChan:  1 ->   2 | Energy:   81.4771 | CosZ:      -999 | Prob:6.34247e-06
Index:        99 | NuType:  1 | OscChan:  1 ->   2 | Energy:   93.5482 | CosZ:      -999 | Prob:5.07274e-06
Index:       100 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.107408 | CosZ:      -999 | Prob:  0.107759
Index:       101 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.123321 | CosZ:      -999 | Prob: 0.0211162
Index:       102 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.141591 | CosZ:      -999 | Prob: 0.0397632
Index:       103 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.162568 | CosZ:      -999 | Prob: 0.0852942
Index:       104 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.186653 | CosZ:      -999 | Prob: 0.0702161
Index:       105 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.214306 | CosZ:      -999 | Prob: 0.0278081
Index:       106 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.246057 | CosZ:      -999 | Prob:0.00483224
Index:       107 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.282511 | CosZ:      -999 | Prob:0.00938261
Index:       108 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.324366 | CosZ:      -999 | Prob: 0.0274044
Index:       109 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.372422 | CosZ:      -999 | Prob: 0.0448357
Index:       110 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.427598 | CosZ:      -999 | Prob:  0.055099
Index:       111 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.490948 | CosZ:      -999 | Prob: 0.0576045
Index:       112 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.563684 | CosZ:      -999 | Prob: 0.0544414
Index:       113 | NuType:  1 | OscChan:  1 ->   3 | Energy:  0.647195 | CosZ:      -999 | Prob: 0.0481263
Index:       114 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.74308 | CosZ:      -999 | Prob: 0.0406394
Index:       115 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.85317 | CosZ:      -999 | Prob: 0.0332347
Index:       116 | NuType:  1 | OscChan:  1 ->   3 | Energy:   0.97957 | CosZ:      -999 | Prob: 0.0265691
Index:       117 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.1247 | CosZ:      -999 | Prob: 0.0208993
Index:       118 | NuType:  1 | OscChan:  1 ->   3 | Energy:   1.29132 | CosZ:      -999 | Prob: 0.0162508
Index:       119 | NuType:  1 | OscChan:  1 ->   3 | Energy:   1.48264 | CosZ:      -999 | Prob: 0.0125329
Index:       120 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.7023 | CosZ:      -999 | Prob:0.00960974
Index:       121 | NuType:  1 | OscChan:  1 ->   3 | Energy:    1.9545 | CosZ:      -999 | Prob:0.00733876
Index:       122 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.24406 | CosZ:      -999 | Prob:0.00558913
Index:       123 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.57653 | CosZ:      -999 | Prob:0.00424901
Index:       124 | NuType:  1 | OscChan:  1 ->   3 | Energy:   2.95825 | CosZ:      -999 | Prob:0.00322668
Index:       125 | NuType:  1 | OscChan:  1 ->   3 | Energy:   3.39653 | CosZ:      -999 | Prob: 0.0024489
Index:       126 | NuType:  1 | OscChan:  1 ->   3 | Energy:   3.89974 | CosZ:      -999 | Prob:0.00185823
Index:       127 | NuType:  1 | OscChan:  1 ->   3 | Energy:    4.4775 | CosZ:      -999 | Prob:0.00141016
Index:       128 | NuType:  1 | OscChan:  1 ->   3 | Energy:   5.14085 | CosZ:      -999 | Prob:0.00107045
Index:       129 | NuType:  1 | OscChan:  1 ->   3 | Energy:   5.90249 | CosZ:      -999 | Prob:0.000812974
Index:       130 | NuType:  1 | OscChan:  1 ->   3 | Energy:   6.77697 | CosZ:      -999 | Prob:0.000617813
Index:       131 | NuType:  1 | OscChan:  1 ->   3 | Energy:     7.781 | CosZ:      -999 | Prob:0.000469855
Index:       132 | NuType:  1 | OscChan:  1 ->   3 | Energy:   8.93378 | CosZ:      -999 | Prob:0.000357641
Index:       133 | NuType:  1 | OscChan:  1 ->   3 | Energy:   10.2574 | CosZ:      -999 | Prob:0.000272495
Index:       134 | NuType:  1 | OscChan:  1 ->   3 | Energy:    11.777 | CosZ:      -999 | Prob:0.000207849
Index:       135 | NuType:  1 | OscChan:  1 ->   3 | Energy:   13.5218 | CosZ:      -999 | Prob:0.000158735
Index:       136 | NuType:  1 | OscChan:  1 ->   3 | Energy:   15.5251 | CosZ:      -999 | Prob:0.000121393
Index:       137 | NuType:  1 | OscChan:  1 ->   3 | Energy:   17.8252 | CosZ:      -999 | Prob:9.29796e-05
Index:       138 | NuType:  1 | OscChan:  1 ->   3 | Energy:   20.4661 | CosZ:      -999 | Prob:7.13394e-05
Index:       139 | NuType:  1 | OscChan:  1 ->   3 | Energy:   23.4982 | CosZ:      -999 | Prob:5.48417e-05
Index:       140 | NuType:  1 | OscChan:  1 ->   3 | Energy:   26.9796 | CosZ:      -999 | Prob:4.2251e-05
Index:       141 | NuType:  1 | OscChan:  1 ->   3 | Energy:   30.9767 | CosZ:      -999 | Prob:3.26305e-05
Index:       142 | NuType:  1 | OscChan:  1 ->   3 | Energy:    35.566 | CosZ:      -999 | Prob:2.52699e-05
Index:       143 | NuType:  1 | OscChan:  1 ->   3 | Energy:   40.8353 | CosZ:      -999 | Prob:1.96302e-05
Index:       144 | NuType:  1 | OscChan:  1 ->   3 | Energy:   46.8852 | CosZ:      -999 | Prob:1.53022e-05
Index:       145 | NuType:  1 | OscChan:  1 ->   3 | Energy:   53.8314 | CosZ:      -999 | Prob:1.1975e-05
Index:       146 | NuType:  1 | OscChan:  1 ->   3 | Energy:   61.8067 | CosZ:      -999 | Prob:9.41213e-06
Index:       147 | NuType:  1 | OscChan:  1 ->   3 | Energy:   70.9636 | CosZ:      -999 | Prob:7.43386e-06
Index:       148 | NuType:  1 | OscChan:  1 ->   3 | Energy:   81.4771 | CosZ:      -999 | Prob:5.90322e-06
